date,open,high,low,adjClose,value,volume,count,close,jdate
2020-06-28,180000.0,189000.0,180000.0,184380.0,326003480500,1768153,1938,189000.0,1399-04-08
2020-06-29,193590.0,193590.0,193590.0,193590.0,169598004120,876068,1332,193590.0,1399-04-09
2020-06-30,203260.0,203260.0,203260.0,198660.0,28894628560,142156,266,203260.0,1399-04-10
2020-07-01,208590.0,208590.0,208590.0,205120.0,36795276000,176400,329,208590.0,1399-04-11
2020-07-04,215370.0,215370.0,215370.0,215370.0,99761106960,463208,627,215370.0,1399-04-14
2020-07-05,226130.0,226130.0,226130.0,226130.0,73270416470,324019,370,226130.0,1399-04-15
2020-07-06,237430.0,237430.0,237430.0,232410.0,32150396300,135410,268,237430.0,1399-04-16
2020-07-07,244030.0,244030.0,244030.0,243660.0,57601085230,236041,305,244030.0,1399-04-17
2020-07-08,255840.0,255840.0,234060.0,251110.0,567725424390,2260901,5007,249000.0,1399-04-18
2020-07-11,253000.0,263660.0,243000.0,253940.0,463122407150,1823734,5018,263660.0,1399-04-21
2020-07-12,266630.0,266630.0,266630.0,260940.0,35305278190,132413,302,266630.0,1399-04-22
2020-07-13,273980.0,273980.0,273980.0,272240.0,56972223140,207943,391,273980.0,1399-04-23
2020-07-14,285850.0,285850.0,285850.0,285850.0,223447229900,781694,1608,285850.0,1399-04-24
2020-07-15,300140.0,300140.0,290100.0,300100.0,877812504630,2925023,7781,300140.0,1399-04-25
2020-07-18,300000.0,315100.0,285100.0,306120.0,734481396790,2399349,7800,315100.0,1399-04-28
2020-07-22,321420.0,321420.0,321420.0,321420.0,118303452300,368065,850,321420.0,1399-05-01
2020-07-25,337490.0,337490.0,337490.0,337490.0,88642423480,262652,350,337490.0,1399-05-04
2020-07-26,354360.0,354360.0,354360.0,353300.0,79681035240,224859,335,354360.0,1399-05-05
2020-07-27,370960.0,370960.0,370960.0,360930.0,38443326720,103632,314,370960.0,1399-05-06
2020-07-28,378970.0,378970.0,378970.0,371320.0,52374411940,138202,356,378970.0,1399-05-07
2020-07-29,389880.0,389880.0,389880.0,382560.0,56655022320,145314,466,389880.0,1399-05-08
2020-08-01,401680.0,401680.0,401680.0,395380.0,64624688480,160886,344,401680.0,1399-05-11
2020-08-02,375620.0,415140.0,375620.0,407140.0,59344560560,142957,380,415140.0,1399-05-12
2020-08-03,427490.0,427490.0,427490.0,424950.0,89805816730,210077,417,427490.0,1399-05-13
2020-08-04,446190.0,446190.0,446190.0,445690.0,104580689340,234386,363,446190.0,1399-05-14
2020-08-05,467970.0,467970.0,423450.0,464560.0,1585962179360,3413918,12804,467970.0,1399-05-15
2020-09-16,441340.0,441340.0,441340.0,441340.0,542865412260,1230039,5070,441340.0,1399-06-26
2020-09-19,419280.0,419280.0,419280.0,419280.0,146101050960,348457,1895,419280.0,1399-06-29
2020-09-20,398320.0,398320.0,398320.0,413060.0,26765909040,67197,622,398320.0,1399-06-30
2020-09-21,392410.0,392410.0,392410.0,409590.0,14946504490,38089,417,392410.0,1399-06-31
2020-09-22,389120.0,389120.0,389120.0,402500.0,30556815360,78528,523,389120.0,1399-07-01
2020-09-23,382380.0,382380.0,382380.0,392780.0,41853785280,109456,792,382380.0,1399-07-02
2020-09-26,373150.0,373150.0,373150.0,389040.0,17047357750,45685,361,373150.0,1399-07-05
2020-09-27,369590.0,369590.0,369590.0,387710.0,6083081810,16459,174,369590.0,1399-07-06
2020-09-28,368330.0,368330.0,368330.0,386800.0,4132662600,11220,127,368330.0,1399-07-07
2020-09-29,367460.0,367460.0,367460.0,384250.0,11648114540,31699,308,367460.0,1399-07-08
2020-09-30,365040.0,365040.0,365040.0,378550.0,26008004880,71247,458,365040.0,1399-07-09
2020-10-03,359630.0,359630.0,359630.0,367880.0,48666570120,135324,792,359630.0,1399-07-12
2020-10-04,349490.0,349490.0,349490.0,362730.0,23480835140,67186,517,349490.0,1399-07-13
2020-10-05,344600.0,344600.0,344600.0,360540.0,10000636600,29021,357,344600.0,1399-07-14
2020-10-06,342520.0,342520.0,342520.0,342520.0,112620576000,328800,1342,342520.0,1399-07-15
2020-10-07,325400.0,359640.0,325400.0,347830.0,1521760655340,4374997,11183,359640.0,1399-07-16
2020-10-10,365220.0,365220.0,365220.0,362390.0,73378906740,200917,526,365220.0,1399-07-19
2020-10-11,380500.0,380500.0,380500.0,376000.0,68625838500,180357,307,380500.0,1399-07-20
2020-10-12,394800.0,394800.0,394800.0,389560.0,68325667200,173064,488,394800.0,1399-07-21
2020-10-13,409030.0,409030.0,409030.0,400840.0,56887483370,139079,308,409030.0,1399-07-22
2020-10-14,420880.0,420880.0,420880.0,420880.0,119888509760,284852,564,420880.0,1399-07-23
2020-10-18,441920.0,441920.0,399840.0,434410.0,3673702244510,8456697,32134,423900.0,1399-07-27
2020-10-19,412690.0,430000.0,412690.0,413170.0,474410465210,1148208,4111,412690.0,1399-07-28
2020-10-20,392520.0,430000.0,392520.0,399270.0,825651178730,2067892,5668,420000.0,1399-07-29
2020-10-21,419230.0,419230.0,400000.0,419080.0,1295884832010,3092187,9294,419230.0,1399-07-30
2020-10-24,424500.0,440030.0,399060.0,417910.0,1101650754610,2636097,14067,401260.0,1399-08-03
2020-10-26,397020.0,420000.0,397020.0,399790.0,808770033190,2023003,7166,400000.0,1399-08-05
2020-10-27,402900.0,412000.0,379810.0,386040.0,401844533700,1040953,4593,379810.0,1399-08-06
2020-10-28,366740.0,380000.0,366740.0,368380.0,705913084550,1916243,6417,366740.0,1399-08-07
2020-10-31,364510.0,386790.0,364000.0,384610.0,692350452980,1800147,7454,386790.0,1399-08-10
2020-11-01,390000.0,395000.0,365380.0,373140.0,527593844040,1413925,6764,365380.0,1399-08-11
2020-11-02,360000.0,373000.0,354490.0,356850.0,265931021250,745217,4274,354490.0,1399-08-12
2020-11-04,360100.0,374600.0,341000.0,361070.0,430618250640,1192605,6380,373330.0,1399-08-14
2020-11-07,350000.0,369900.0,343020.0,346200.0,216154500760,624356,2631,343020.0,1399-08-17
2020-11-08,328890.0,328890.0,328890.0,337740.0,38575179210,117289,430,328890.0,1399-08-18
2020-11-09,320860.0,320860.0,320860.0,321530.0,73940582700,230445,592,320860.0,1399-08-19
2020-11-10,305460.0,320860.0,305460.0,308520.0,522837814930,1694650,3688,305460.0,1399-08-20
2020-11-11,293100.0,299900.0,293100.0,293610.0,1088324699740,3706738,8147,293100.0,1399-08-21
2020-11-14,297300.0,306990.0,293100.0,299490.0,717166168400,2394663,9680,296250.0,1399-08-24
2020-11-15,299490.0,302980.0,284520.0,286970.0,335212087600,1168116,4116,284520.0,1399-08-25
2020-11-16,272630.0,272630.0,272630.0,278860.0,36995073110,135697,827,272630.0,1399-08-26
2020-11-17,264920.0,287000.0,264920.0,270400.0,1232006962710,4556170,14361,272400.0,1399-08-27
2020-11-18,275000.0,283920.0,272580.0,281030.0,401140037740,1427373,4828,283920.0,1399-08-28
2020-11-21,295050.0,295080.0,278000.0,290390.0,538497663980,1854365,5339,281030.0,1399-09-01
2020-11-22,280000.0,293400.0,275880.0,280930.0,475662775680,1693172,5728,275900.0,1399-09-02
2020-11-23,280500.0,289410.0,266950.0,275670.0,443069078210,1607239,6045,271950.0,1399-09-03
2020-11-24,272100.0,278120.0,261890.0,263860.0,519230250290,1967801,5911,261890.0,1399-09-04
2020-11-25,250670.0,260000.0,250670.0,252730.0,560284323800,2216930,7422,251100.0,1399-09-05
2020-11-28,240100.0,265360.0,240100.0,255890.0,765302552270,2990698,8740,265360.0,1399-09-08
2020-11-29,268680.0,268680.0,268680.0,266240.0,52189477920,194244,387,268680.0,1399-09-09
2020-11-30,279550.0,279550.0,279550.0,279550.0,94417453400,337748,399,279550.0,1399-09-10
2020-12-01,293520.0,293520.0,280000.0,292420.0,693581009690,2371847,4333,293520.0,1399-09-11
2020-12-02,300000.0,307040.0,280010.0,303310.0,334326907720,1102260,3740,307040.0,1399-09-12
2020-12-05,314000.0,318470.0,303340.0,316360.0,335281048350,1059811,3600,318470.0,1399-09-15
2020-12-06,332170.0,332170.0,332170.0,332170.0,114091758580,343474,1337,332170.0,1399-09-16
2020-12-07,348770.0,348770.0,332250.0,342330.0,1020359758210,2980639,10749,339890.0,1399-09-17
2020-12-08,349000.0,359440.0,339890.0,354420.0,654246111030,1845963,8022,359440.0,1399-09-18
2020-12-09,370000.0,372140.0,366600.0,371050.0,234874253880,633003,1955,372140.0,1399-09-19
2020-12-12,387900.0,389600.0,355500.0,379540.0,1715120704480,4518966,19684,358500.0,1399-09-22
2020-12-13,360570.0,370000.0,360570.0,361060.0,306736088210,849542,4222,360570.0,1399-09-23
2020-12-14,343010.0,343010.0,343010.0,343010.0,95418178790,278179,1209,343010.0,1399-09-24
2020-12-15,325860.0,325860.0,325860.0,331510.0,52433480880,160908,558,325860.0,1399-09-25
2020-12-16,314940.0,348080.0,314940.0,332580.0,1545643457000,4647453,14068,348080.0,1399-09-26
2020-12-19,349200.0,349200.0,349200.0,349200.0,84036027600,240653,639,349200.0,1399-09-29
2020-12-20,366660.0,366660.0,352890.0,364810.0,820126827380,2248082,6516,366660.0,1399-09-30
2020-12-21,380000.0,383050.0,348540.0,380320.0,1404470170110,3692908,13700,383050.0,1399-10-01
2020-12-22,386000.0,396000.0,365000.0,379480.0,1190755665020,3137838,16312,370000.0,1399-10-02
2020-12-23,368000.0,387000.0,360510.0,366160.0,832343567270,2273153,11660,360510.0,1399-10-03
2020-12-26,355000.0,376530.0,355000.0,362700.0,618949808580,1706522,9528,360990.0,1399-10-06
2020-12-27,360000.0,380830.0,360000.0,377250.0,528270853590,1400313,5714,380830.0,1399-10-07
2020-12-28,396000.0,396110.0,385000.0,395290.0,311621370310,788341,2905,396110.0,1399-10-08
2020-12-29,414980.0,415050.0,398950.0,411940.0,1417894776740,3441997,15241,415050.0,1399-10-09
2020-12-30,418000.0,427000.0,391350.0,404450.0,1148900025500,2840650,16466,391990.0,1399-10-10
2021-01-02,391000.0,418000.0,384850.0,400050.0,916205051950,2290242,11272,404500.0,1399-10-13
2021-01-03,413000.0,420050.0,400500.0,418520.0,659298874500,1575307,7224,420050.0,1399-10-14
2021-01-04,430000.0,439400.0,415200.0,430690.0,883442037410,2051238,13035,425900.0,1399-10-15
2021-01-05,425000.0,433000.0,409160.0,414460.0,890599840720,2148841,13207,409160.0,1399-10-16
