,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
691,2015-03-11,2000.0,2000.0,2000.0,2000.0,109440000,54720,6,1000.0,2000.0,1393-12-20
690,2015-03-14,2000.0,2000.0,2000.0,2000.0,2038464000,1019232,4,2000.0,2000.0,1393-12-23
689,2015-03-16,2000.0,2000.0,2000.0,2000.0,137308000,68654,2,2000.0,2000.0,1393-12-25
688,2015-03-29,2000.0,2000.0,2000.0,2000.0,800000,400,1,2000.0,2000.0,1394-01-09
687,2015-03-30,2000.0,2000.0,2000.0,2000.0,35360000,17680,1,2000.0,2000.0,1394-01-10
686,2015-04-06,2000.0,2000.0,2000.0,2000.0,8000000,4000,1,2000.0,2000.0,1394-01-17
685,2015-04-11,2000.0,2000.0,2000.0,2000.0,6400000,3200,1,2000.0,2000.0,1394-01-22
684,2015-04-12,2000.0,2000.0,2000.0,2000.0,6560000,3280,1,2000.0,2000.0,1394-01-23
683,2015-04-14,2000.0,2000.0,2000.0,2000.0,10960000,5480,1,2000.0,2000.0,1394-01-25
682,2015-05-04,2000.0,2000.0,2000.0,2000.0,28832000,14416,6,2000.0,2000.0,1394-02-14
681,2015-05-10,2000.0,2000.0,2000.0,2000.0,267840000,133920,2,2000.0,2000.0,1394-02-20
680,2015-05-11,2000.0,2000.0,2000.0,2000.0,12800000,6400,2,2000.0,2000.0,1394-02-21
679,2015-05-13,2000.0,2000.0,2000.0,2000.0,60000000,30000,1,2000.0,2000.0,1394-02-23
678,2015-05-18,2000.0,2000.0,2000.0,2000.0,12978000,6489,2,2000.0,2000.0,1394-02-28
677,2015-06-10,2000.0,2000.0,2000.0,2000.0,10000000,5000,1,2000.0,2000.0,1394-03-20
676,2015-06-14,2000.0,2000.0,2000.0,2000.0,6400000,3200,1,2000.0,2000.0,1394-03-24
675,2015-07-21,2000.0,2000.0,2000.0,2000.0,536000,268,5,2000.0,2000.0,1394-04-30
674,2015-07-26,2000.0,2000.0,2000.0,2000.0,21520000,10760,2,2000.0,2000.0,1394-05-04
673,2015-07-27,2000.0,2000.0,2000.0,2000.0,16000000,8000,1,2000.0,2000.0,1394-05-05
672,2015-08-01,2000.0,2000.0,2000.0,2000.0,52960000,26480,3,2000.0,2000.0,1394-05-10
671,2015-08-09,2000.0,2000.0,2000.0,2000.0,18050000,9025,1,2000.0,2000.0,1394-05-18
670,2015-08-19,2000.0,2000.0,2000.0,2000.0,16000000,8000,1,2000.0,2000.0,1394-05-28
669,2015-09-15,2000.0,2000.0,2000.0,2000.0,17000000,8500,1,2000.0,2000.0,1394-06-24
668,2016-05-08,2086.0,2086.0,2001.0,2053.0,52739240,25690,3,2000.0,2001.0,1395-02-19
667,2016-05-09,1300.0,1300.0,1300.0,1300.0,18566802800,14282156,2,2053.0,1300.0,1395-02-20
666,2016-05-16,1301.0,1301.0,1301.0,1301.0,35387200,27200,1,1300.0,1301.0,1395-02-27
665,2016-05-24,1351.0,1351.0,1350.0,1351.0,1681299874,1244490,2,1301.0,1350.0,1395-03-04
664,2016-06-28,1351.0,1351.0,1351.0,1351.0,1351000,1000,1,1351.0,1351.0,1395-04-08
663,2016-07-02,1350.0,1350.0,1350.0,1350.0,3981150,2949,1,1351.0,1350.0,1395-04-12
662,2016-07-04,1370.0,1370.0,1370.0,1370.0,3014000,2200,1,1350.0,1370.0,1395-04-14
661,2016-07-10,1400.0,1400.0,1400.0,1400.0,6008800,4292,1,1370.0,1400.0,1395-04-20
660,2016-07-11,1450.0,1450.0,1450.0,1450.0,2972500,2050,1,1400.0,1450.0,1395-04-21
659,2016-07-13,1450.0,1450.0,1450.0,1450.0,27054100,18658,1,1450.0,1450.0,1395-04-23
658,2016-07-18,1551.0,1551.0,1551.0,1551.0,12408000,8000,1,1450.0,1551.0,1395-04-28
657,2016-08-08,1500.0,1500.0,1500.0,1500.0,7501500,5001,1,1551.0,1500.0,1395-05-18
656,2016-08-16,1501.0,1501.0,1501.0,1501.0,292695,195,1,1500.0,1501.0,1395-05-26
655,2016-09-10,1551.0,1551.0,1551.0,1551.0,6656892,4292,1,1501.0,1551.0,1395-06-20
654,2016-09-27,218.0,218.0,218.0,218.0,2180000,10000,1,207.0,218.0,1395-07-06
653,2016-12-26,331.0,331.0,331.0,331.0,19860000,60000,2,218.0,331.0,1395-10-06
652,2017-01-02,369.0,401.0,369.0,399.0,84108800,210547,3,331.0,400.0,1395-10-13
651,2017-01-07,450.0,570.0,450.0,570.0,142522500,250050,3,399.0,570.0,1395-10-18
650,2017-01-09,600.0,600.0,600.0,600.0,30000000,50000,1,570.0,600.0,1395-10-20
649,2017-01-14,630.0,630.0,630.0,630.0,14115150,22405,1,600.0,630.0,1395-10-25
648,2017-01-17,660.0,660.0,660.0,660.0,6023160,9126,5,630.0,660.0,1395-10-28
647,2017-01-22,700.0,700.0,690.0,693.0,10178800,14684,2,660.0,690.0,1395-11-03
646,2017-01-28,770.0,770.0,725.0,747.0,14950000,20000,2,693.0,725.0,1395-11-09
645,2017-02-04,785.0,785.0,785.0,785.0,24335000,31000,1,747.0,785.0,1395-11-16
644,2017-02-05,823.0,850.0,823.0,839.0,26849000,32000,4,785.0,850.0,1395-11-17
643,2017-02-13,875.0,875.0,875.0,875.0,9625000,11000,2,839.0,875.0,1395-11-25
642,2017-03-04,915.0,915.0,915.0,915.0,4575000,5000,2,875.0,915.0,1395-12-14
641,2017-03-15,1006.0,1006.0,1006.0,1006.0,11504616,11436,3,915.0,1006.0,1395-12-25
640,2017-04-12,1106.0,1106.0,1106.0,1106.0,11060000,10000,2,1006.0,1106.0,1396-01-23
639,2017-04-16,1216.0,1216.0,1216.0,1216.0,13376000,11000,2,1106.0,1216.0,1396-01-27
638,2017-04-29,1337.0,1337.0,1337.0,1337.0,16307389,12197,4,1216.0,1337.0,1396-02-09
637,2017-05-01,1470.0,1470.0,1470.0,1470.0,147000000,100000,4,1337.0,1470.0,1396-02-11
636,2017-05-02,1617.0,1617.0,1617.0,1617.0,244732950,151350,8,1470.0,1617.0,1396-02-12
635,2017-05-03,1778.0,1778.0,1778.0,1778.0,266700000,150000,9,1617.0,1778.0,1396-02-13
634,2017-05-06,1955.0,1955.0,1800.0,1938.0,339112750,174997,13,1778.0,1800.0,1396-02-16
633,2017-05-07,1745.0,1745.0,1745.0,1745.0,28792500,16500,9,1938.0,1745.0,1396-02-17
632,2017-05-08,1571.0,1919.0,1571.0,1864.0,297945993,159854,31,1745.0,1919.0,1396-02-18
631,2017-05-09,1954.0,1955.0,1820.0,1928.0,146521410,76000,8,1864.0,1955.0,1396-02-19
630,2017-05-13,2120.0,2120.0,2050.0,2107.0,338504282,160672,17,1928.0,2120.0,1396-02-23
629,2017-05-14,2119.0,2316.0,2119.0,2159.0,80460980,37275,16,2107.0,2260.0,1396-02-24
628,2017-05-16,2298.0,2300.0,2297.0,2299.0,95331443,41471,12,2159.0,2300.0,1396-02-26
627,2017-05-17,2300.0,2300.0,2300.0,2300.0,46000000,20000,3,2299.0,2300.0,1396-02-27
626,2017-05-24,2070.0,2070.0,2070.0,2070.0,800469000,386700,23,2300.0,2070.0,1396-03-03
