date,open,high,low,adjClose,value,volume,count,close,jdate
2018-11-19,5333.0,5333.0,5333.0,4359.0,78619086,14742,5,5333.0,1397-08-28
2018-11-21,6500.0,6500.0,6500.0,6500.0,4308102500,662785,165,6500.0,1397-08-30
2018-11-24,6600.0,6600.0,6388.0,6591.0,754263800,114443,29,6388.0,1397-09-03
2018-11-26,5500.0,5500.0,5500.0,5500.0,1261337000,229334,38,5500.0,1397-09-05
2018-11-28,5500.0,5500.0,5500.0,5500.0,950691500,172853,36,5500.0,1397-09-07
2018-12-01,5500.0,5500.0,5500.0,5500.0,308000000,56000,18,5500.0,1397-09-10
2018-12-03,5500.0,5500.0,5500.0,5500.0,269604500,49019,16,5500.0,1397-09-12
2018-12-05,5500.0,5795.0,5500.0,5529.0,768473060,139000,53,5795.0,1397-09-14
2018-12-08,5529.0,5529.0,5529.0,5529.0,273132600,49400,20,5529.0,1397-09-17
2018-12-22,5529.0,5529.0,5300.0,5509.0,105502108,19152,8,5300.0,1397-10-01
2018-12-24,4660.0,5100.0,4660.0,4674.0,645502700,138095,20,5100.0,1397-10-03
2018-12-31,5000.0,5098.0,5000.0,5008.0,263948164,52705,29,5098.0,1397-10-10
2019-01-02,5008.0,5008.0,5000.0,5005.0,491674896,98242,26,5000.0,1397-10-12
2019-01-05,5050.0,5050.0,5050.0,5050.0,373700000,74000,13,5050.0,1397-10-15
2019-01-07,4800.0,4800.0,4800.0,4800.0,87840000,18300,1,4800.0,1397-10-17
2019-01-09,4800.0,4800.0,4630.0,4747.0,63906190,13463,12,4630.0,1397-10-19
2019-01-12,4888.0,4888.0,4888.0,4888.0,332384000,68000,14,4888.0,1397-10-22
2019-01-14,4701.0,4701.0,4701.0,4701.0,366254910,77910,40,4701.0,1397-10-24
2019-01-16,4701.0,4712.0,4701.0,4701.0,208641380,44380,7,4712.0,1397-10-26
2019-01-19,4701.0,4701.0,4701.0,4701.0,141067608,30008,3,4701.0,1397-10-29
2019-01-21,4701.0,4988.0,4701.0,4976.0,264537459,53159,9,4988.0,1397-11-01
2019-01-23,4976.0,4976.0,4976.0,4976.0,29846048,5998,5,4976.0,1397-11-03
2019-01-26,5800.0,5800.0,5300.0,5796.0,419097300,72306,33,5300.0,1397-11-06
2019-01-30,5795.0,5795.0,5795.0,5795.0,432451875,74625,9,5795.0,1397-11-10
2019-02-02,5800.0,5800.0,5800.0,5800.0,843360600,145407,50,5800.0,1397-11-13
2019-02-04,5800.0,5800.0,5800.0,5800.0,812626400,140108,19,5800.0,1397-11-15
2019-02-06,5800.0,5800.0,5800.0,5800.0,609000000,105000,13,5800.0,1397-11-17
2019-02-16,5800.0,5800.0,5800.0,5800.0,215760000,37200,8,5800.0,1397-11-27
