,date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
92,2020-11-17,900.0,900.0,900.0,900.0,756314100,840349,36,1000.0,900.0,1399-08-27
91,2020-11-18,940.0,940.0,920.0,900.0,2332508210,2482998,161,900.0,940.0,1399-08-28
90,2020-11-21,940.0,940.0,910.0,900.0,2387868700,2588508,135,900.0,930.0,1399-09-01
89,2020-11-22,930.0,940.0,870.0,900.0,2951358740,3192775,160,900.0,920.0,1399-09-02
88,2020-11-23,880.0,940.0,880.0,900.0,5301262530,5704163,171,900.0,940.0,1399-09-03
87,2020-11-24,940.0,940.0,870.0,900.0,3470989860,3843537,142,900.0,890.0,1399-09-04
86,2020-11-25,870.0,900.0,860.0,900.0,2587922340,2973005,158,900.0,890.0,1399-09-05
85,2020-11-28,860.0,880.0,860.0,900.0,981385480,1141009,92,900.0,860.0,1399-09-08
84,2020-11-29,860.0,910.0,860.0,900.0,4547981390,5180089,233,900.0,900.0,1399-09-09
83,2020-11-30,920.0,940.0,880.0,900.0,7926734130,8640427,290,900.0,930.0,1399-09-10
82,2020-12-01,870.0,910.0,870.0,900.0,3091557210,3469659,171,900.0,900.0,1399-09-11
81,2020-12-02,900.0,910.0,880.0,900.0,1426552570,1604148,83,900.0,890.0,1399-09-12
80,2020-12-05,890.0,890.0,870.0,900.0,2291928500,2610827,128,900.0,890.0,1399-09-15
79,2020-12-06,870.0,890.0,860.0,900.0,3100215330,3558456,164,900.0,880.0,1399-09-16
78,2020-12-07,870.0,910.0,860.0,900.0,6647989700,7575268,208,900.0,870.0,1399-09-17
77,2020-12-08,860.0,940.0,860.0,900.0,5115108760,5739227,226,900.0,880.0,1399-09-18
76,2020-12-09,870.0,880.0,860.0,900.0,2616047290,3026046,179,900.0,880.0,1399-09-19
75,2020-12-12,860.0,860.0,860.0,900.0,4257939980,4951093,168,900.0,860.0,1399-09-22
74,2020-12-13,860.0,860.0,860.0,900.0,536308900,623615,39,900.0,860.0,1399-09-23
73,2020-12-15,850.0,850.0,850.0,890.0,229189750,269635,18,890.0,850.0,1399-09-25
72,2020-12-16,850.0,850.0,850.0,890.0,216873250,255145,16,890.0,850.0,1399-09-26
71,2020-12-19,850.0,850.0,850.0,890.0,37116100,43666,6,890.0,850.0,1399-09-29
70,2020-12-20,850.0,850.0,850.0,890.0,31098100,36586,6,890.0,850.0,1399-09-30
69,2020-12-21,850.0,850.0,850.0,890.0,14728800,17328,2,890.0,850.0,1399-10-01
68,2020-12-22,850.0,850.0,850.0,890.0,434531050,511213,11,890.0,850.0,1399-10-02
67,2020-12-23,850.0,850.0,850.0,890.0,114368350,134551,14,890.0,850.0,1399-10-03
66,2020-12-26,850.0,850.0,850.0,890.0,74192250,87285,9,890.0,850.0,1399-10-06
65,2020-12-27,850.0,850.0,850.0,890.0,63245100,74406,6,890.0,850.0,1399-10-07
64,2020-12-28,850.0,850.0,850.0,890.0,198124800,233088,13,890.0,850.0,1399-10-08
63,2020-12-29,850.0,850.0,850.0,890.0,18629450,21917,3,890.0,850.0,1399-10-09
62,2020-12-30,850.0,850.0,850.0,890.0,27530650,32389,6,890.0,850.0,1399-10-10
61,2021-01-02,850.0,850.0,850.0,890.0,10193200,11992,2,890.0,850.0,1399-10-13
60,2021-01-03,850.0,850.0,850.0,890.0,5100000,6000,1,890.0,850.0,1399-10-14
59,2021-01-04,850.0,850.0,850.0,890.0,29285900,34454,6,890.0,850.0,1399-10-15
58,2021-01-05,850.0,850.0,850.0,890.0,9350000,11000,2,890.0,850.0,1399-10-16
57,2021-01-06,850.0,850.0,850.0,890.0,18700000,22000,3,890.0,850.0,1399-10-17
56,2021-01-09,850.0,850.0,850.0,890.0,35938850,42281,6,890.0,850.0,1399-10-20
55,2021-01-10,850.0,850.0,850.0,890.0,4930000,5800,1,890.0,850.0,1399-10-21
54,2021-01-11,850.0,850.0,850.0,890.0,19893400,23404,3,890.0,850.0,1399-10-22
53,2021-01-12,850.0,850.0,850.0,890.0,5100000,6000,1,890.0,850.0,1399-10-23
52,2021-01-13,850.0,850.0,850.0,890.0,21229600,24976,4,890.0,850.0,1399-10-24
51,2021-01-16,850.0,850.0,850.0,890.0,83912850,98721,9,890.0,850.0,1399-10-27
50,2021-01-23,850.0,850.0,850.0,890.0,25896100,30466,4,890.0,850.0,1399-11-04
49,2021-01-24,850.0,850.0,850.0,890.0,21689450,25517,4,890.0,850.0,1399-11-05
48,2021-03-07,880.0,880.0,880.0,890.0,1039520240,1181273,10,890.0,880.0,1399-12-17
47,2021-03-08,880.0,880.0,880.0,890.0,5016000,5700,1,890.0,880.0,1399-12-18
46,2021-03-09,880.0,880.0,880.0,890.0,15672800,17810,3,890.0,880.0,1399-12-19
45,2021-03-13,880.0,880.0,880.0,890.0,51906800,58985,5,890.0,880.0,1399-12-23
44,2021-04-04,880.0,880.0,880.0,890.0,8800000,10000,1,890.0,880.0,1400-01-15
43,2021-04-05,880.0,880.0,880.0,890.0,8800000,10000,1,890.0,880.0,1400-01-16
42,2021-04-06,880.0,880.0,880.0,890.0,78272480,88946,7,890.0,880.0,1400-01-17
41,2021-04-10,880.0,880.0,880.0,890.0,5280000,6000,1,890.0,880.0,1400-01-21
40,2021-04-11,880.0,880.0,880.0,890.0,5280000,6000,1,890.0,880.0,1400-01-22
39,2021-04-12,880.0,880.0,880.0,890.0,80080000,91000,6,890.0,880.0,1400-01-23
38,2021-04-13,880.0,880.0,880.0,890.0,52526320,59689,8,890.0,880.0,1400-01-24
37,2021-04-14,880.0,880.0,880.0,890.0,293481760,333502,12,890.0,880.0,1400-01-25
36,2021-04-17,880.0,880.0,880.0,890.0,3131206320,3558189,38,890.0,880.0,1400-01-28
35,2021-04-18,880.0,880.0,880.0,890.0,19888000,22600,1,890.0,880.0,1400-01-29
34,2021-04-19,880.0,880.0,880.0,890.0,5963760,6777,1,890.0,880.0,1400-01-30
33,2021-04-20,880.0,880.0,880.0,890.0,39600,45,3,890.0,880.0,1400-01-31
32,2021-04-21,870.0,870.0,870.0,890.0,71212110,81853,4,890.0,870.0,1400-02-01
31,2021-04-26,870.0,870.0,870.0,890.0,24886350,28605,1,890.0,870.0,1400-02-06
30,2021-04-27,870.0,870.0,870.0,890.0,15486000,17800,3,890.0,870.0,1400-02-07
29,2021-04-28,870.0,870.0,870.0,890.0,81926160,94168,9,890.0,870.0,1400-02-08
28,2021-05-09,864.0,864.0,864.0,890.0,10368000,12000,2,890.0,864.0,1400-02-19
27,2021-05-12,864.0,864.0,864.0,890.0,5011200,5800,2,890.0,864.0,1400-02-22
26,2021-05-16,846.0,846.0,846.0,890.0,5076000,6000,1,890.0,846.0,1400-02-26
25,2021-05-17,846.0,846.0,846.0,876.0,12690000000,15000000,209,890.0,846.0,1400-02-27
24,2021-05-18,833.0,833.0,833.0,858.0,15798504736,18965792,322,876.0,833.0,1400-02-28
23,2021-05-19,816.0,816.0,816.0,838.0,17385700080,21306005,272,858.0,816.0,1400-02-29
22,2021-05-22,797.0,797.0,797.0,833.0,4877640000,6120000,112,838.0,797.0,1400-03-01
21,2021-05-23,792.0,792.0,792.0,829.0,3191760000,4030000,72,833.0,792.0,1400-03-02
20,2021-05-24,788.0,788.0,788.0,825.0,3108393656,3944662,70,829.0,788.0,1400-03-03
19,2021-05-25,784.0,784.0,784.0,821.0,3185335552,4062928,92,825.0,784.0,1400-03-04
18,2021-05-26,780.0,780.0,780.0,814.0,6255990000,8020500,126,821.0,780.0,1400-03-05
17,2021-05-29,774.0,774.0,774.0,808.0,4884714000,6311000,100,814.0,774.0,1400-03-08
16,2021-05-30,768.0,774.0,768.0,802.0,5335909472,6946907,143,808.0,768.0,1400-03-09
15,2021-05-31,762.0,762.0,762.0,798.0,3825350490,5020145,91,802.0,762.0,1400-03-10
14,2021-06-01,759.0,759.0,759.0,793.0,4663632996,6144444,125,798.0,759.0,1400-03-11
13,2021-06-02,754.0,754.0,754.0,788.0,4202708536,5573884,107,793.0,754.0,1400-03-12
12,2021-06-07,749.0,749.0,749.0,783.0,4532664878,6051622,117,788.0,749.0,1400-03-17
11,2021-06-08,744.0,783.0,744.0,773.0,9639038564,12920533,362,783.0,744.0,1400-03-18
10,2021-06-09,735.0,736.0,735.0,764.0,7983780250,10862150,205,773.0,735.0,1400-03-19
9,2021-06-12,726.0,726.0,726.0,757.0,6313011408,8695608,150,764.0,726.0,1400-03-22
8,2021-06-13,720.0,720.0,720.0,751.0,5229953280,7263824,124,757.0,720.0,1400-03-23
7,2021-06-14,714.0,714.0,714.0,743.0,7347343458,10290397,173,751.0,714.0,1400-03-24
6,2021-06-15,706.0,706.0,706.0,737.0,5210952818,7380953,129,743.0,706.0,1400-03-25
5,2021-06-16,701.0,701.0,701.0,731.0,5713880442,8151042,147,737.0,701.0,1400-03-26
4,2021-06-19,695.0,695.0,695.0,724.0,6332967185,9112183,168,731.0,695.0,1400-03-29
3,2021-06-20,688.0,688.0,688.0,715.0,7951964544,11558088,185,724.0,688.0,1400-03-30
2,2021-06-21,680.0,682.0,680.0,706.0,7637273480,11231211,193,715.0,680.0,1400-03-31
1,2021-06-22,671.0,684.0,671.0,697.0,8064747001,12016404,238,706.0,671.0,1400-04-01
0,2021-06-23,663.0,695.0,663.0,691.0,6089943921,9164333,210,697.0,665.0,1400-04-02
